 611607-OCT-2008 00:00:0008-OCT-2008 23:59:59     1     6     9     7     1     6    16    11     7Geonor-måler.                                                                 B
 611609-OCT-2008 00:00:0022-NOV-2010 23:59:59     1     6    10     6     1     9    19    10     8Geonor-måler. Erstattes af Pluvio-måler 20101123.                             B
 611623-NOV-2010 00:00:0012-JUN-2012 23:59:59     1     6     7     5     0     7    12    10     6Pluvio-måler opsat 20101123.                                                  B
 611613-JUN-2012 00:00:0030-OCT-2012 23:59:59     3     5     6     5     1    10    12    15     7Pluvio-måler.                                                                 B
 611631-OCT-2012 00:00:0002-JUN-2013 23:59:59     3     6     8     7     1    10    15    12     8Pluvio-måler.                                                                 B
 611603-JUN-2013 00:00:0015-OCT-2014 23:59:59     3     4     5     5     2     8    10     9     6Pluvio-måler.                                                                 B
 611616-OCT-2014 00:00:0005-OCT-2015 23:59:59     1     5    10     8     0    10    15    12     8Pluvio-måler.                                                                 B
 611606-OCT-2015 00:00:0007-JUN-2016 23:59:59     2     8    10     5     1     9    13    10     7Pluvio-måler.                                                                 B
 611608-JUN-2016 00:00:0031-JUL-2018 23:59:59     4     6     8     5     3     9    11    10     7Pluvio-måler.                                                                 B
 611601-AUG-2018 00:00:00                         2     3     5     6     1     5     5     4     4Pluvio-måler.                                                                 C
 618425-OCT-2008 00:00:0011-JUN-2019 23:59:59    13     5    17    13    28    38    33     5    25Pluvio-måler. Vinklerne målt 20140603.                                        A
 618412-JUN-2019 00:00:00                        26    38    30     4    12     8    17     8    23Pluvio-måler.                                                                 A
 619301-JUL-1987 00:00:0018-SEP-1994 23:59:59    25    40    30    35    35    20    30    12    29Hellmann-måler.                                                               A
 619319-SEP-1994 00:00:0021-SEP-1998 23:59:59    30    25    15    33    27    24    20     9    24Hellmann-måler.                                                               A
 619322-SEP-1998 00:00:0030-AUG-2001 23:59:59    28    30    18    30    31    23    20     7    24Hellmann-måler ophørt. Geonor-måler opsættes 100m mod W 20010830.             A
 619331-AUG-2001 00:00:0001-OCT-2001 23:59:59    16    10    30    20    30    22     0     0    18Geonor-måler opsat 100m mod W 20010830.                                       B
 619302-OCT-2001 00:00:0025-AUG-2003 23:59:59     0     5    15    20    20    11     0     0    11Geonor-måler. Der er fældet birkekrat omkring måleren.                        B
 619326-AUG-2003 00:00:0015-SEP-2004 23:59:59     0     7    15    17    18    12     0     0    11Geonor-måler.                                                                 B
 619316-SEP-2004 00:00:0006-OCT-2006 23:59:59     0     6    14    19    18    11     0     0    10Geonor-måler.                                                                 B
 619307-OCT-2006 00:00:0027-APR-2008 23:59:59     0     2    10    18    17    11     0     0     9Geonor-måler.                                                                 B
 619328-APR-2008 00:00:0022-APR-2009 23:59:59     5    15    15    22    20    14     1     0    13Geonor-måler.                                                                 B
 619323-APR-2009 00:00:0017-AUG-2010 23:59:59     1    10    18    22    17    15     1     0    12Geonor-måler.                                                                 B
 619318-AUG-2010 00:00:0002-NOV-2010 23:59:59     2    12    17    22    22    10     0     0    12Geonor-måler. Erstattes af Pluvio-måler 20101103.                             B
 619303-NOV-2010 00:00:0006-MAR-2012 23:59:59     3    10    14    21    23    13     1     1    13Pluvio-måler opsat 20101103. Erstatter Geonor-måler.                          B
 619307-MAR-2012 00:00:0005-AUG-2014 23:59:59     4    12    18    28    25    15     0     0    15Pluvio-måler.                                                                 B
 619306-AUG-2014 00:00:0004-OCT-2017 23:59:59     7    20    23    35    29    18     6     1    20Pluvio-måler.                                                                 A
 619305-OCT-2017 00:00:0008-OCT-2019 23:59:59     8    16    26    31    33    21     2     0    20Pluvio-måler.                                                                 A
 619309-OCT-2019 00:00:00                        29    20     4     0     9    25    29    35    21Pluvio-måler.                                                                 A
2110011-AUG-1966 00:00:0017-OCT-1984 23:59:59    11    19    24    14    11    23    35    24    21Rm flyttes 10 m mod SSE 19841017.                                             A
2110018-OCT-1984 00:00:0021-AUG-1988 23:59:59    13    22    26    28    14    24    21    23    22Rm flyttet 10 m mod SSE 19841017.                                             A
