25140NORDBY                        clima_man 11-SEP-197913-JAN-199432U     461760    6144230     6     552600      82400
25140NORDBY                        clima_man 14-JAN-199414-FEB-199632U     462375    6145165     3     552700      82400
25140NORDBY                        clima_man 15-FEB-199601-JAN-200032U     462120    6145060     4     552700      82400
25140NORDBY                        precip_man02-JAN-200022-JUL-200332U     462120    6145060     4     552700      82400
25140NORDBY                        precip_man23-JUL-200304-JUL-200732U     462147    6145047     4     552656      82406
25140NORDBY                        precip_man05-JUL-200701-JAN-200932U     462126    6145059     4     552657      82405
25140NORDBY                        snow_man  01-JAN-200031-MAY-200232U     462120    6145060     4     552700      82400
25145SØNDERHO                      precip_man01-JUN-198823-AUG-199932U     466300    6134345     4     552100      82800
25145SØNDERHO                      precip_man24-AUG-199901-APR-200932U     466300    6134432     4     552100      82800
25171ESBJERG RENSEANLÆG VEST       precip_aut04-JAN-197906-JUN-198532U     464000    6149460     3     552900      82600
25171ESBJERG RENSEANLÆG VEST       precip_aut26-AUG-198515-JAN-198932U     464120    6149500     3     552900      82600
25171ESBJERG RENSEANLÆG VEST       precip_aut16-JAN-198906-AUG-199032U     464035    6149440     3     552900      82600
25171ESBJERG RENSEANLÆG VEST       precip_aut07-AUG-199023-MAY-201232U     464030    6149430     3     552900      82600
25171ESBJERG RENSEANLÆG VEST       precip_aut24-MAY-2012           32U     464020    6149500     3     552921      82550
25172HJERTING                      precip_man01-DEC-198509-JUN-198632U     460557    6152591     9     553100      82300
25172HJERTING                      precip_man10-JUN-198601-JAN-200732U     460558    6152596     9     553100      82300
25348VESTER VEDSTED                clima_aut 06-MAY-198601-DEC-200332U     478179    6127418     3     551729      83923
25348VESTER VEDSTED                clima_aut 11-DEC-2003           32U     478179    6127418     3     551729      83923
26400STORE JYNDEVAD                clima_man 15-OCT-196030-JUN-197832U     508370    6083960    15     545400      90800
26400STORE JYNDEVAD                clima_man 01-JUL-197830-JUN-198732U     507920    6083440    14     545400      90700
26400STORE JYNDEVAD                precip_man01-JUL-198730-JUN-199232U     508179    6083921    15     545400      90800
26400STORE JYNDEVAD                precip_man01-JUL-199210-DEC-200132U     508268    6083960    15     545400      90800
26400STORE JYNDEVAD                precip_man11-DEC-200101-APR-201132U     508297    6083963    15     545400      90800
26409TINGLEV                       precip_man01-JUN-199501-JAN-200732U     516348    6088366    23     545600      91500
26410BRODERUP                      precip_man01-NOV-189428-FEB-190932U     516760    6084300    22     545400      91600
26410BRODERUP                      precip_man01-AUG-190928-FEB-195732U     516760    6084300    22     545400      91600
26410BAJSTRUP                      precip_man01-MAR-195721-SEP-197032U     517470    6084430    23     545400      91600
26410BAJSTRUP                      precip_man22-SEP-197030-JUN-198632U     517440    6084500    23     545400      91600
26410GÅRDEBY                       precip_man01-DEC-198631-MAR-198732U     516300    6084490    22     545400      91500
26410GÅRDEBY                       precip_man01-APR-198703-OCT-198932U     516220    6084580    22     545400      91500
26410GÅRDEBY                       precip_man04-OCT-198930-SEP-199132U     516220    6084550    22     545400      91500
26410RØDEBÆK                       precip_man01-JUL-199228-FEB-199332U     517130    6082480    25     545300      91600
26410BRODERUP MARK                 precip_man01-MAY-199330-JUN-199332U     517350    6083315    23     545400      91600
27070LANGØR                        precip_man01-JUN-187131-MAY-188032U     602720    6197690     3     555500     103900
27070LANGØR                        precip_man01-JUN-188031-DEC-192832U     602320    6198330     4     555500     103800
27070LANGØR                        precip_man01-JAN-192931-OCT-194632U     601270    6198480     3     555500     103700
27070LANGØR                        precip_man01-NOV-194631-DEC-195932U     601820    6198480     2     555500     103800
27070LANGØR                        precip_man01-JAN-196031-MAY-197732U     601270    6198480     3     555500     103700
27070LANGØR                        precip_man01-JUN-197729-FEB-199632U     601820    6198480     2     555500     103800
27070LANGØR                        precip_man01-MAR-199601-MAY-199732U     601255    6198435     3     555500     103700
27070KANHAVE                       precip_man02-MAY-199701-JAN-200732U     600370    6196975     2     555400     103600
27080TRANEBJERG                    clima_aut 15-FEB-200029-FEB-200032U     600010    6190400    11     555100     103600
27080TRANEBJERG                    clima_aut 01-MAR-200010-AUG-200332U     600052    6190468    12     555100     103600
27080TRANEBJERG ØST                clima_aut 20-AUG-2003           32U     601656    6188727    16     554956     103723
27080TRANEBJERG                    clima_man 01-DEC-187228-FEB-187732U     600080    6188790    15     555000     103600
27080TRANEBJERG                    clima_man 01-MAR-187731-MAR-188432U     599720    6188885    17     555000     103500
27080TRANEBJERG                    clima_man 01-APR-188431-MAY-191832U     599630    6188890    17     555000     103500
27080TRANEBJERG                    clima_man 01-JUN-191830-APR-195032U     599630    6188850    17     555000     103500
27080TRANEBJERG                    clima_man 01-MAY-195031-OCT-197232U     599730    6188910    15     555000     103600
27080TRANEBJERG                    clima_man 01-NOV-197201-FEB-200032U     600010    6190400    11     555100     103600
27080TRANEBJERG                    precip_man02-FEB-200029-FEB-200032U     600010    6190400    11     555100     103600
